Summary,Value,Material,Run,Peak,Unit,Description
Ti47 first full fit R2adj,0.8922329462174787,Ti47,first,,,full fit R2adj
Ti47 first peak 1 area / ng cm-2,2.0950575851119297,Ti47,first,1.0,ng cm-2,area / ng cm-2
Ti47 first peak 1 area error / ng cm-2,0.12263480725736278,Ti47,first,1.0,ng cm-2,area error / ng cm-2
Ti47 first peak 1 ln(std),0.14544090091051295,Ti47,first,1.0,,ln(std)
Ti47 first peak 1 ln(std) error,0.0031522678025986445,Ti47,first,1.0,,ln(std) error
Ti47 first peak 1 xc / s,500.75106594507497,Ti47,first,1.0,s,xc / s
Ti47 first peak 1 xc error / s,0.7809256028488525,Ti47,first,1.0,s,xc error / s
Ti47 first peak 1 mode / s,490.2698959775962,Ti47,first,1.0,s,mode / s
Ti47 first peak 1 mode error / s,0.8869470522953795,Ti47,first,1.0,s,mode error / s
Ti47 first peak 1 mode potential / VvsRHE,1.8558869011467083,Ti47,first,1.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 1 mode potential error / VvsRHE,0.0044332945615636055,Ti47,first,1.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 2 area / ng cm-2,1.2441908758826568,Ti47,first,2.0,ng cm-2,area / ng cm-2
Ti47 first peak 2 area error / ng cm-2,0.36326553147812324,Ti47,first,2.0,ng cm-2,area error / ng cm-2
Ti47 first peak 2 ln(std),0.45255662064317326,Ti47,first,2.0,,ln(std)
Ti47 first peak 2 ln(std) error,0.02249171094370519,Ti47,first,2.0,,ln(std) error
Ti47 first peak 2 xc / s,116.20892520406865,Ti47,first,2.0,s,xc / s
Ti47 first peak 2 xc error / s,6.536550605584844,Ti47,first,2.0,s,xc error / s
Ti47 first peak 2 mode / s,94.68751513689597,Ti47,first,2.0,s,mode / s
Ti47 first peak 2 mode error / s,5.66410011216725,Ti47,first,2.0,s,mode error / s
Ti47 first peak 2 mode potential / VvsRHE,1.2002695015344929,Ti47,first,2.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 2 mode potential error / VvsRHE,3.939036555600239e-06,Ti47,first,2.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 3 area / ng cm-2,0.6909297940067411,Ti47,first,3.0,ng cm-2,area / ng cm-2
Ti47 first peak 3 area error / ng cm-2,0.03669915600553303,Ti47,first,3.0,ng cm-2,area error / ng cm-2
Ti47 first peak 3 ln(std),0.06778696452342035,Ti47,first,3.0,,ln(std)
Ti47 first peak 3 ln(std) error,0.0021935722694470254,Ti47,first,3.0,,ln(std) error
Ti47 first peak 3 xc / s,848.2421204156792,Ti47,first,3.0,s,xc / s
Ti47 first peak 3 xc error / s,1.3841665543210717,Ti47,first,3.0,s,xc error / s
Ti47 first peak 3 mode / s,844.3533278091651,Ti47,first,3.0,s,mode / s
Ti47 first peak 3 mode error / s,1.4005152629279725,Ti47,first,3.0,s,mode error / s
Ti47 first peak 3 mode potential / VvsRHE,1.6854922114261202,Ti47,first,3.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 3 mode potential error / VvsRHE,0.0070003810240767406,Ti47,first,3.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 4 area / ng cm-2,0.25671528024934387,Ti47,first,4.0,ng cm-2,area / ng cm-2
Ti47 first peak 4 area error / ng cm-2,0.1530404541314471,Ti47,first,4.0,ng cm-2,area error / ng cm-2
Ti47 first peak 4 ln(std),0.031576102695610654,Ti47,first,4.0,,ln(std)
Ti47 first peak 4 ln(std) error,0.005360901679371149,Ti47,first,4.0,,ln(std) error
Ti47 first peak 4 xc / s,1143.8550051928069,Ti47,first,4.0,s,xc / s
Ti47 first peak 4 xc error / s,2.6047798362481163,Ti47,first,4.0,s,xc error / s
Ti47 first peak 4 mode / s,1142.715092630318,Ti47,first,4.0,s,mode / s
Ti47 first peak 4 mode error / s,2.6307849862193646,Ti47,first,4.0,s,mode error / s
Ti47 first peak 4 mode potential / VvsRHE,1.793665065092596,Ti47,first,4.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 4 mode potential error / VvsRHE,0.013164776713285531,Ti47,first,4.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 5 area / ng cm-2,0.04762578727503567,Ti47,first,5.0,ng cm-2,area / ng cm-2
Ti47 first peak 5 area error / ng cm-2,0.010242107984291567,Ti47,first,5.0,ng cm-2,area error / ng cm-2
Ti47 first peak 5 ln(std),0.017627371903426312,Ti47,first,5.0,,ln(std)
Ti47 first peak 5 ln(std) error,0.003066141975330564,Ti47,first,5.0,,ln(std) error
Ti47 first peak 5 xc / s,972.8161287669079,Ti47,first,5.0,s,xc / s
Ti47 first peak 5 xc error / s,2.5877571442735174,Ti47,first,5.0,s,xc error / s
Ti47 first peak 5 mode / s,972.513898172039,Ti47,first,5.0,s,mode / s
Ti47 first peak 5 mode error / s,2.5890882672728166,Ti47,first,5.0,s,mode error / s
Ti47 first peak 5 mode potential / VvsRHE,1.355888722506063,Ti47,first,5.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 5 mode potential error / VvsRHE,0.012942698520648332,Ti47,first,5.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 6 area / ng cm-2,0.5077594024457653,Ti47,first,6.0,ng cm-2,area / ng cm-2
Ti47 first peak 6 area error / ng cm-2,0.857372690942217,Ti47,first,6.0,ng cm-2,area error / ng cm-2
Ti47 first peak 6 ln(std),0.3341629160868743,Ti47,first,6.0,,ln(std)
Ti47 first peak 6 ln(std) error,0.1278517520648019,Ti47,first,6.0,,ln(std) error
Ti47 first peak 6 xc / s,255.11574275138173,Ti47,first,6.0,s,xc / s
Ti47 first peak 6 xc error / s,34.16756298687692,Ti47,first,6.0,s,xc error / s
Ti47 first peak 6 mode / s,228.16121920112164,Ti47,first,6.0,s,mode / s
Ti47 first peak 6 mode error / s,36.24696863824909,Ti47,first,6.0,s,mode error / s
Ti47 first peak 6 mode potential / VvsRHE,1.2002679320701453,Ti47,first,6.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 6 mode potential error / VvsRHE,1.4551623349623455e-06,Ti47,first,6.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 7 area / ng cm-2,0.3202143600195479,Ti47,first,7.0,ng cm-2,area / ng cm-2
Ti47 first peak 7 area error / ng cm-2,0.18958256638615084,Ti47,first,7.0,ng cm-2,area error / ng cm-2
Ti47 first peak 7 ln(std),0.05634108594624664,Ti47,first,7.0,,ln(std)
Ti47 first peak 7 ln(std) error,0.015422561042402897,Ti47,first,7.0,,ln(std) error
Ti47 first peak 7 xc / s,1212.88698796167,Ti47,first,7.0,s,xc / s
Ti47 first peak 7 xc error / s,37.32694515040181,Ti47,first,7.0,s,xc error / s
Ti47 first peak 7 mode / s,1209.0430032481654,Ti47,first,7.0,s,mode / s
Ti47 first peak 7 mode error / s,37.267922559456025,Ti47,first,7.0,s,mode error / s
Ti47 first peak 7 mode potential / VvsRHE,1.4620411351948452,Ti47,first,7.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 7 mode potential error / VvsRHE,0.18636173945335766,Ti47,first,7.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 8 area / ng cm-2,4.969945243384398,Ti47,first,8.0,ng cm-2,area / ng cm-2
Ti47 first peak 8 area error / ng cm-2,1.7033025469155516,Ti47,first,8.0,ng cm-2,area error / ng cm-2
Ti47 first peak 8 ln(std),0.8212387792800698,Ti47,first,8.0,,ln(std)
Ti47 first peak 8 ln(std) error,0.303387125097941,Ti47,first,8.0,,ln(std) error
Ti47 first peak 8 xc / s,826.9658363139569,Ti47,first,8.0,s,xc / s
Ti47 first peak 8 xc error / s,160.71045777259684,Ti47,first,8.0,s,xc error / s
Ti47 first peak 8 mode / s,421.29371518188674,Ti47,first,8.0,s,mode / s
Ti47 first peak 8 mode error / s,225.33364854764855,Ti47,first,8.0,s,mode error / s
Ti47 first peak 8 mode potential / VvsRHE,1.7997920426756573,Ti47,first,8.0,VvsRHE,mode potential / VvsRHE
Ti47 first peak 8 mode potential error / VvsRHE,0.06308612290185656,Ti47,first,8.0,VvsRHE,mode potential error / VvsRHE
Ti47 first peak 1 area_single / ng cm-2,1.3905103042278733,Ti47,first,1.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 1 area_single error / ng cm-2,0.020005827181410547,Ti47,first,1.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 1 ln(std)_single,0.07087850785183705,Ti47,first,1.0,,ln(std)_single
Ti47 first peak 1 ln(std)_single error,0.0010397543699258748,Ti47,first,1.0,,ln(std)_single error
Ti47 first peak 1 xc_single / s,484.67693590815946,Ti47,first,1.0,s,xc_single / s
Ti47 first peak 1 xc_single error / s,0.06413193603793234,Ti47,first,1.0,s,xc_single error / s
Ti47 first peak 1 mode_single / s,482.2481398669202,Ti47,first,1.0,s,mode_single / s
Ti47 first peak 1 mode_single error / s,0.09552024986933963,Ti47,first,1.0,s,mode_single error / s
Ti47 first peak 1 mode_single potential / VvsRHE,1.896008638962036,Ti47,first,1.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 1 mode_single potential error / VvsRHE,0.0004930743525757286,Ti47,first,1.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 1 R2adj,0.9662920108757399,Ti47,first,1.0,,R2adj
Ti47 first peak 2 area_single / ng cm-2,0.6447461345858131,Ti47,first,2.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 2 area_single error / ng cm-2,0.019866282749435412,Ti47,first,2.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 2 ln(std)_single,0.20745580300544883,Ti47,first,2.0,,ln(std)_single
Ti47 first peak 2 ln(std)_single error,0.006637390284534644,Ti47,first,2.0,,ln(std)_single error
Ti47 first peak 2 xc_single / s,109.74289036057384,Ti47,first,2.0,s,xc_single / s
Ti47 first peak 2 xc_single error / s,0.1773298798816294,Ti47,first,2.0,s,xc_single error / s
Ti47 first peak 2 mode_single / s,105.11997946021958,Ti47,first,2.0,s,mode_single / s
Ti47 first peak 2 mode_single error / s,0.33564658030787164,Ti47,first,2.0,s,mode_single error / s
Ti47 first peak 2 mode_single potential / VvsRHE,1.200276934093327,Ti47,first,2.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 2 mode_single potential error / VvsRHE,8.503832471529194e-07,Ti47,first,2.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 2 R2adj,0.9014121824411437,Ti47,first,2.0,,R2adj
Ti47 first peak 3 area_single / ng cm-2,0.5363600011817485,Ti47,first,3.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 3 area_single error / ng cm-2,0.00868535138210978,Ti47,first,3.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 3 ln(std)_single,0.032084763147871294,Ti47,first,3.0,,ln(std)_single
Ti47 first peak 3 ln(std)_single error,0.0005368207769788955,Ti47,first,3.0,,ln(std)_single error
Ti47 first peak 3 xc_single / s,832.137724177503,Ti47,first,3.0,s,xc_single / s
Ti47 first peak 3 xc_single error / s,0.07339095956521247,Ti47,first,3.0,s,xc_single error / s
Ti47 first peak 3 mode_single / s,831.281535723498,Ti47,first,3.0,s,mode_single / s
Ti47 first peak 3 mode_single error / s,0.07870929047204885,Ti47,first,3.0,s,mode_single error / s
Ti47 first peak 3 mode_single potential / VvsRHE,1.7508322645468182,Ti47,first,3.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 3 mode_single potential error / VvsRHE,0.0003855382980036959,Ti47,first,3.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 3 R2adj,0.926932728816567,Ti47,first,3.0,,R2adj
Ti47 first peak 4 area_single / ng cm-2,0.30236416399372573,Ti47,first,4.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 4 area_single error / ng cm-2,0.00269515269989884,Ti47,first,4.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 4 ln(std)_single,0.017433209524437783,Ti47,first,4.0,,ln(std)_single
Ti47 first peak 4 ln(std)_single error,0.00016448805962313354,Ti47,first,4.0,,ln(std)_single error
Ti47 first peak 4 xc_single / s,1138.902164365545,Ti47,first,4.0,s,xc_single / s
Ti47 first peak 4 xc_single error / s,0.055881207519935326,Ti47,first,4.0,s,xc_single error / s
Ti47 first peak 4 mode_single / s,1138.5560854629628,Ti47,first,4.0,s,mode_single / s
Ti47 first peak 4 mode_single error / s,0.056244549950137515,Ti47,first,4.0,s,mode_single error / s
Ti47 first peak 4 mode_single potential / VvsRHE,1.8144920440238932,Ti47,first,4.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 4 mode_single potential error / VvsRHE,0.0002681104317235894,Ti47,first,4.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 4 R2adj,0.9838834865370926,Ti47,first,4.0,,R2adj
Ti47 first peak 5 area_single / ng cm-2,0.124447463668829,Ti47,first,5.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 5 area_single error / ng cm-2,0.0006499931427328388,Ti47,first,5.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 5 ln(std)_single,0.01083068039866284,Ti47,first,5.0,,ln(std)_single
Ti47 first peak 5 ln(std)_single error,6.74613181472357e-05,Ti47,first,5.0,,ln(std)_single error
Ti47 first peak 5 xc_single / s,981.4412469734337,Ti47,first,5.0,s,xc_single / s
Ti47 first peak 5 xc_single error / s,0.032958459750732465,Ti47,first,5.0,s,xc_single error / s
Ti47 first peak 5 mode_single / s,981.3261270969027,Ti47,first,5.0,s,mode_single / s
Ti47 first peak 5 mode_single error / s,0.0329857795979163,Ti47,first,5.0,s,mode_single error / s
Ti47 first peak 5 mode_single potential / VvsRHE,1.3999606144218382,Ti47,first,5.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 5 mode_single potential error / VvsRHE,0.00013932330155386197,Ti47,first,5.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 5 R2adj,0.990874292378871,Ti47,first,5.0,,R2adj
Ti47 first peak 6 area_single / ng cm-2,0.3825972550504785,Ti47,first,6.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 6 area_single error / ng cm-2,0.009289124453209983,Ti47,first,6.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 6 ln(std)_single,0.08667781710691826,Ti47,first,6.0,,ln(std)_single
Ti47 first peak 6 ln(std)_single error,0.0022285126984330117,Ti47,first,6.0,,ln(std)_single error
Ti47 first peak 6 xc_single / s,225.7243130509684,Ti47,first,6.0,s,xc_single / s
Ti47 first peak 6 xc_single error / s,0.13658563689563796,Ti47,first,6.0,s,xc_single error / s
Ti47 first peak 6 mode_single / s,224.03479103382494,Ti47,first,6.0,s,mode_single / s
Ti47 first peak 6 mode_single error / s,0.16083645013688866,Ti47,first,6.0,s,mode_single error / s
Ti47 first peak 6 mode_single potential / VvsRHE,1.2002645680638926,Ti47,first,6.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 6 mode_single potential error / VvsRHE,2.6619538854300018e-06,Ti47,first,6.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 6 R2adj,0.9302571262326599,Ti47,first,6.0,,R2adj
Ti47 first peak 7 area_single / ng cm-2,0.24639915139338883,Ti47,first,7.0,ng cm-2,area_single / ng cm-2
Ti47 first peak 7 area_single error / ng cm-2,0.0022365374683897955,Ti47,first,7.0,ng cm-2,area_single error / ng cm-2
Ti47 first peak 7 ln(std)_single,0.014526636379883644,Ti47,first,7.0,,ln(std)_single
Ti47 first peak 7 ln(std)_single error,0.00013957256869429573,Ti47,first,7.0,,ln(std)_single error
Ti47 first peak 7 xc_single / s,1162.8581949405243,Ti47,first,7.0,s,xc_single / s
Ti47 first peak 7 xc_single error / s,0.03568396688944505,Ti47,first,7.0,s,xc_single error / s
Ti47 first peak 7 mode_single / s,1162.6128308140153,Ti47,first,7.0,s,mode_single / s
Ti47 first peak 7 mode_single error / s,0.035986582965472705,Ti47,first,7.0,s,mode_single error / s
Ti47 first peak 7 mode_single potential / VvsRHE,1.6941998386607617,Ti47,first,7.0,VvsRHE,mode_single potential / VvsRHE
Ti47 first peak 7 mode_single potential error / VvsRHE,0.00019046854973658878,Ti47,first,7.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 first peak 7 R2adj,0.9756560797888008,Ti47,first,7.0,,R2adj
Ti47 second full fit R2adj,0.9517432814994045,Ti47,second,,,full fit R2adj
Ti47 second peak 1 area / ng cm-2,0.1126602608860904,Ti47,second,1.0,ng cm-2,area / ng cm-2
Ti47 second peak 1 area error / ng cm-2,27286.339487722867,Ti47,second,1.0,ng cm-2,area error / ng cm-2
Ti47 second peak 1 ln(std),0.00037153767342541603,Ti47,second,1.0,,ln(std)
Ti47 second peak 1 ln(std) error,20.739092434533394,Ti47,second,1.0,,ln(std) error
Ti47 second peak 1 xc / s,110.8539725832861,Ti47,second,1.0,s,xc / s
Ti47 second peak 1 xc error / s,4104.314289746683,Ti47,second,1.0,s,xc error / s
Ti47 second peak 1 mode / s,110.85395728097785,Ti47,second,1.0,s,mode / s
Ti47 second peak 1 mode error / s,4104.314078716825,Ti47,second,1.0,s,mode error / s
Ti47 second peak 1 mode potential / VvsRHE,,Ti47,second,1.0,VvsRHE,mode potential / VvsRHE
Ti47 second peak 1 mode potential error / VvsRHE,,Ti47,second,1.0,VvsRHE,mode potential error / VvsRHE
Ti47 second peak 2 area / ng cm-2,2.4739931684031466,Ti47,second,2.0,ng cm-2,area / ng cm-2
Ti47 second peak 2 area error / ng cm-2,0.05632040919204803,Ti47,second,2.0,ng cm-2,area error / ng cm-2
Ti47 second peak 2 ln(std),0.130810560639802,Ti47,second,2.0,,ln(std)
Ti47 second peak 2 ln(std) error,0.001533750809009039,Ti47,second,2.0,,ln(std) error
Ti47 second peak 2 xc / s,492.96614062317974,Ti47,second,2.0,s,xc / s
Ti47 second peak 2 xc error / s,0.5234527876079074,Ti47,second,2.0,s,xc error / s
Ti47 second peak 2 mode / s,484.60255881553786,Ti47,second,2.0,s,mode / s
Ti47 second peak 2 mode error / s,0.5500873141437911,Ti47,second,2.0,s,mode error / s
Ti47 second peak 2 mode potential / VvsRHE,1.8842416149104038,Ti47,second,2.0,VvsRHE,mode potential / VvsRHE
Ti47 second peak 2 mode potential error / VvsRHE,0.002746002806886194,Ti47,second,2.0,VvsRHE,mode potential error / VvsRHE
Ti47 second peak 3 area / ng cm-2,0.4975622866733649,Ti47,second,3.0,ng cm-2,area / ng cm-2
Ti47 second peak 3 area error / ng cm-2,0.01358218288175292,Ti47,second,3.0,ng cm-2,area error / ng cm-2
Ti47 second peak 3 ln(std),0.04113248285867768,Ti47,second,3.0,,ln(std)
