overlay,id_exp_icpms,name_isotope_analyte,name_isotope_internalstandard,id_data_icpms,t_delaycorrected__timestamp_sfc_pc_synchronized__s,dm_dt_S__ng_s_cm2geo_fc_top_cell_Aideal
first,190,Ti47,Sc45,49133,-1.174657,-0.0003394306611032599
first,190,Ti47,Sc45,49134,-0.970555,-0.0007759391699533317
first,190,Ti47,Sc45,49135,-0.766454,-0.00019389803615823368
first,190,Ti47,Sc45,49136,-0.562352,-0.0009214254769839405
first,190,Ti47,Sc45,49137,-0.35825,-0.0022309929618037315
first,190,Ti47,Sc45,49138,-0.154149,-0.0007758955761169806
first,190,Ti47,Sc45,49139,0.049953,-0.0012124138931720884
first,190,Ti47,Sc45,49140,0.254054,-0.0010668943457290178
first,190,Ti47,Sc45,49141,0.458156,-0.001794438679041822
first,190,Ti47,Sc45,49142,0.662257,-0.0007758519809745402
first,190,Ti47,Sc45,49143,0.865382,-0.0004848172452924368
first,190,Ti47,Sc45,49144,1.069484,0.00024275706018488303
first,190,Ti47,Sc45,49145,1.273585,-0.0006303062755031344
first,190,Ti47,Sc45,49146,1.477687,-0.00019375417164935286
first,190,Ti47,Sc45,49147,1.681789,-0.0010668256815796367
first,190,Ti47,Sc45,49148,1.88589,-0.0017943890878958251
first,190,Ti47,Sc45,49149,2.089992,-0.0017943820032341384
first,190,Ti47,Sc45,49150,2.294093,9.73296118701794e-05
first,190,Ti47,Sc45,49151,2.498195,-0.0009212701652173878
first,190,Ti47,Sc45,49152,2.702296,-0.001648843925855426
first,190,Ti47,Sc45,49153,2.905421,-0.002085388400187834
first,190,Ti47,Sc45,49154,3.109523,-0.0017943467478190524
first,190,Ti47,Sc45,49155,3.313625,-0.0006301921021825427
first,190,Ti47,Sc45,49156,3.517726,-0.0010667376273850024
first,190,Ti47,Sc45,49157,3.721828,-0.00150328642254095
first,190,Ti47,Sc45,49158,3.925929,-0.0020853585677889455
first,190,Ti47,Sc45,49159,4.130031,-0.0007756669465785551
first,190,Ti47,Sc45,49160,4.334132,-0.0013577407267440973
first,190,Ti47,Sc45,49161,4.538234,-0.001503253721536409
first,190,Ti47,Sc45,49162,4.742335,-0.00019354520446611515
first,190,Ti47,Sc45,49163,4.94546,-0.0009211461498021108
first,190,Ti47,Sc45,49164,5.149562,-0.0001935190428786278
first,190,Ti47,Sc45,49165,5.353664,-0.00048455375251882696
first,190,Ti47,Sc45,49166,5.557765,-0.0004845417615666784
first,190,Ti47,Sc45,49167,5.761867,-0.00048452977052470777
first,190,Ti47,Sc45,49168,5.965968,-0.0025218752054485738
first,190,Ti47,Sc45,49169,6.17007,9.75985137810032e-05
first,190,Ti47,Sc45,49170,6.374171,-0.002230813243432089
first,190,Ti47,Sc45,49171,6.578273,-0.0016486991303496289
first,190,Ti47,Sc45,49172,6.782375,-0.0006299975246466502
first,190,Ti47,Sc45,49173,6.9855,-0.0007755143338886052
first,190,Ti47,Sc45,49174,7.189601,-0.0003389170298888582
first,190,Ti47,Sc45,49175,7.393703,-0.0006299631848622244
first,190,Ti47,Sc45,49176,7.597804,-0.0009210115200781148
first,190,Ti47,Sc45,49177,7.801906,-0.0007754707273231599
first,190,Ti47,Sc45,49178,8.006007,-4.780491961980639e-05
first,190,Ti47,Sc45,49179,8.210109,-0.0019397011336938462
first,190,Ti47,Sc45,49180,8.41421,-0.0016486304497517932
first,190,Ti47,Sc45,49181,8.618312,-0.0006298945029781587
first,190,Ti47,Sc45,49182,8.822414,-0.000193283570952835
first,190,Ti47,Sc45,49183,9.025539,-0.0009209392683186835
first,190,Ti47,Sc45,49184,9.22964,-0.00019325771694198097
first,190,Ti47,Sc45,49185,9.433742,-0.0013575229056654215
first,190,Ti47,Sc45,49186,9.637843,-0.0010664435255127306
first,190,Ti47,Sc45,49187,9.841945,-0.0012119695873984732
first,190,Ti47,Sc45,49188,10.046046,-0.0012119603201372231
first,190,Ti47,Sc45,49189,10.250148,-0.0007753401593767132
first,190,Ti47,Sc45,49190,10.45425,-0.0009208667661708597
first,190,Ti47,Sc45,49191,10.658351,-0.0007753183536477398
first,190,Ti47,Sc45,49192,10.862453,-4.761445109868101e-05
first,190,Ti47,Sc45,49193,11.066554,-0.0003386791123945148
first,190,Ti47,Sc45,49194,11.269679,-0.0001931268835482312
first,190,Ti47,Sc45,49195,11.473781,9.796667110015768e-05
first,190,Ti47,Sc45,49196,11.677882,-0.001939590082301124
first,190,Ti47,Sc45,49197,11.881984,-0.0001930876316187996
first,190,Ti47,Sc45,49198,12.086085,-0.0013574095146005045
first,190,Ti47,Sc45,49199,12.290187,-0.0003386038792479569
first,190,Ti47,Sc45,49200,12.494289,-0.0010663061463326183
first,190,Ti47,Sc45,49201,12.69839,-0.0013573833458633733
