overlay,id_exp_sfc,id_data_ec,Timestamp_synchronized__s,E_WE_uncompensated__VvsRHE,j__mA_cm2geo_fc_top_cell_Aideal
first,4200,1,0.0,1.1916100084781647,6.888394609620303e-05
first,4200,2,1.0,1.2004700005054474,6.05363335451165e-05
first,4200,3,2.0,1.200433999300003,6.512084827593494e-05
first,4200,4,3.0,1.2004189789295197,6.603680369467437e-05
first,4200,5,4.0,1.200408011674881,6.626995787501948e-05
first,4200,6,5.0,1.2003960311412811,6.506516573731428e-05
first,4200,7,6.0,1.2003900110721588,6.27113802991102e-05
first,4200,8,7.0,1.2003860175609589,5.82994526694183e-05
first,4200,9,8.0,1.2003799974918365,6.322160667833437e-05
first,4200,10,9.0,1.2003720104694366,6.382095450004691e-05
first,4200,11,10.0,1.2003699839115143,6.364135887888952e-05
first,4200,12,11.0,1.2003630101680756,6.160458502227306e-05
first,4200,13,12.0,1.2003600299358368,6.402608072124681e-05
first,4200,14,13.0,1.2003580033779144,6.14426055763548e-05
first,4200,15,14.0,1.2003500163555145,5.8104725990168106e-05
first,4200,16,15.0,1.2003540098667145,5.8095134417339854e-05
first,4200,17,16.0,1.2003490030765533,6.451698317231605e-05
first,4200,18,17.0,1.2002979815006256,0.19494211378628415
first,4200,19,18.0,1.2003180086612701,0.08137407749383208
first,4200,20,19.0,1.20032200217247,0.043815636212548977
first,4200,21,20.0,1.20032200217247,0.029012983779815787
first,4200,22,21.0,1.20032200217247,0.021613863857796862
first,4200,23,22.0,1.2003190219402313,0.017241085612884035
first,4200,24,23.0,1.200316995382309,0.014232608965506462
first,4200,25,24.0,1.2003150284290314,0.012112711098770655
first,4200,26,25.0,1.2003110349178314,0.010654394410133551
first,4200,27,26.0,1.200313001871109,0.00955843571308909
first,4200,28,27.0,1.2003119885921478,0.008441942652210098
first,4200,29,28.0,1.2003079950809479,0.007631825214307288
first,4200,30,29.0,1.200309008359909,0.006980072074666379
first,4200,31,30.0,1.200304001569748,0.006471860084881579
first,4200,32,31.0,1.2002989947795868,0.005980053100138914
first,4200,33,32.0,1.2003010213375092,0.005567361276541856
first,4200,34,33.0,1.2002989947795868,0.0052005483880526076
first,4200,35,34.0,1.2002979815006256,0.004898957900988493
first,4200,36,35.0,1.2002979815006256,0.004622083630060286
first,4200,37,36.0,1.2002989947795868,0.004375744128170318
first,4200,38,37.0,1.2002970278263092,0.004166358097890774
first,4200,39,38.0,1.2002970278263092,0.003979680602899873
first,4200,40,39.0,1.2002880275249481,0.0038150621339596118
first,4200,41,40.0,1.200292021036148,0.0036535313802267947
first,4200,42,41.0,1.2002889811992645,0.0034969072026133927
first,4200,43,42.0,1.200291007757187,0.003357357518152951
first,4200,44,43.0,1.2002889811992645,0.003225209418458995
first,4200,45,44.0,1.2002889811992645,0.003111029376798509
first,4200,46,45.0,1.2002889811992645,0.0030004218318183434
first,4200,47,46.0,1.2002840340137482,0.0029107315790684557
first,4200,48,47.0,1.200283020734787,0.002825923418525211
first,4200,49,48.0,1.2002840340137482,0.0027157420894985723
first,4200,50,49.0,1.2002889811992645,0.002625409966491466
first,4200,51,50.0,1.200283020734787,0.0025650675026886527
first,4200,52,51.0,1.2002840340137482,0.0024851449600354915
first,4200,53,52.0,1.2002840340137482,0.00241527179041158
first,4200,54,53.0,1.2002799808979034,0.0023477529938397794
first,4200,55,54.0,1.2002809941768646,0.0022869210476528378
first,4200,56,55.0,1.200283020734787,0.0022254019849378753
first,4200,57,56.0,1.2002799808979034,0.0021601821298396708
first,4200,58,57.0,1.2002809941768646,0.0021147533069842536
first,4200,59,58.0,1.2002840340137482,0.0020660136715082186
first,4200,60,59.0,1.2002799808979034,0.0020202166106047174
first,4200,61,60.0,1.2002809941768646,0.0019843588430586458
first,4200,62,61.0,1.200279027223587,0.0019320933282722078
first,4200,63,62.0,1.2002780139446259,0.0018864850873040006
first,4200,64,63.0,1.200279027223587,0.0018504369328522174
first,4200,65,64.0,1.2002770006656647,0.0018127277897580134
first,4200,66,65.0,1.2002759873867035,0.0017717893165048954
first,4200,67,66.0,1.2002709805965424,0.0017360314433229314
first,4200,68,67.0,1.2002709805965424,0.0017029671922884405
first,4200,69,68.0,1.2002709805965424,0.0016896432428294744
first,4200,70,69.0,1.200274020433426,0.0016591417719126053
first,4200,71,70.0,1.2002730071544647,0.001678707748029197
first,4200,72,71.0,1.2002730071544647,0.0016019384395340559
first,4200,73,72.0,1.2002770006656647,0.0016031580321970314
first,4200,74,73.0,1.200274020433426,0.0015858766010133259
first,4200,75,74.0,1.2002730071544647,0.0015441509209967775
first,4200,76,75.0,1.2002730071544647,0.0015100973240150144
first,4200,77,76.0,1.200274020433426,0.0014791369266371557
first,4200,78,77.0,1.2002680003643036,0.0014536404571690433
first,4200,79,78.0,1.200270026922226,0.0014323120310755057
first,4200,80,79.0,1.2002709805965424,0.0014138220739573974
first,4200,81,80.0,1.200270026922226,0.0013911674032768512
first,4200,82,81.0,1.2002719938755035,0.0013988543725306018
first,4200,83,82.0,1.2002680003643036,0.0013658661195613535
first,4200,84,83.0,1.2002690136432648,0.0013411826139329071
first,4200,85,84.0,1.2002669870853424,0.0013168240587947647
first,4200,86,85.0,1.2002650201320648,0.001295330807000449
first,4200,87,86.0,1.200266033411026,0.0012710847799254044
first,4200,88,87.0,1.2002709805965424,0.0012553205678483253
first,4200,89,88.0,1.2002690136432648,0.0012364067452323162
first,4200,90,89.0,1.2002680003643036,0.0012239649021826829
first,4200,91,90.0,1.2002669870853424,0.0012118671070753153
first,4200,92,91.0,1.2002690136432648,0.0011932266228614876
first,4200,93,92.0,1.2002680003643036,0.0011818028209048947
first,4200,94,93.0,1.200270026922226,0.0011716911608015538
first,4200,95,94.0,1.2002629935741425,0.0011617430532355267
first,4200,96,95.0,1.2002669870853424,0.0011463046730696112
first,4200,97,96.0,1.2002669870853424,0.0011347505187614226
first,4200,98,97.0,1.2002690136432648,0.0011195225043740401
first,4200,99,98.0,1.2002669870853424,0.0011040260483670304
first,4200,100,99.0,1.2002640068531036,0.0010896813156167937
first,4200,101,100.0,1.2002610266208649,0.0010804222832918086
first,4200,102,101.0,1.2002650201320648,0.0010686026254335256
first,4200,103,102.0,1.2002719938755035,0.0010567885499073546
first,4200,104,103.0,1.2002719938755035,0.0010536800723418807
first,4200,105,104.0,1.200270026922226,0.0010390324246228346
first,4200,106,105.0,1.2002719938755035,0.0010295944638633152
first,4200,107,106.0,1.2002690136432648,0.0010245702670269455
first,4200,108,107.0,1.2002690136432648,0.0010181100397387
first,4200,109,108.0,1.2002690136432648,0.0010124288905548446
first,4200,110,109.0,1.2002640068531036,0.001000905585976748
first,4200,111,110.0,1.2002669870853424,0.0009898685319062945
first,4200,112,111.0,1.200266033411026,0.0009813157135612914
first,4200,113,112.0,1.2002650201320648,0.0009789378359529202
first,4200,114,113.0,1.2002690136432648,0.0009640280144959165
first,4200,115,114.0,1.2002640068531036,0.0009549702399339135
first,4200,116,115.0,1.2002629935741425,0.0009507068072351809
first,4200,117,116.0,1.2002610266208649,0.0009399726681335366
first,4200,118,117.0,1.2002669870853424,0.0009313810672707036
first,4200,119,118.0,1.2002669870853424,0.000929078991856273
first,4200,120,119.0,1.2002640068531036,0.0013164532744197525
first,4200,121,120.0,1.2002600133419037,0.001011145639718663
first,4200,122,121.0,1.2002669870853424,0.0009541291685623858
first,4200,123,122.0,1.2002629935741425,0.000930313960416469
first,4200,124,123.0,1.2002680003643036,0.0009166429270100539
first,4200,125,124.0,1.2002680003643036,0.0009040533969985827
first,4200,126,125.0,1.2002629935741425,0.0008973205168577134
first,4200,127,126.0,1.2002629935741425,0.000887765425059495
first,4200,128,127.0,1.2002590000629425,0.0008807569539964692
first,4200,129,128.0,1.2002600133419037,0.0008712404488447787
first,4200,130,129.0,1.2002590000629425,0.0008665980051763429
first,4200,131,130.0,1.2002619802951813,0.0008561478794628483
first,4200,132,131.0,1.2002619802951813,0.0008476799713273371
first,4200,133,132.0,1.2002619802951813,0.0008423147625538855
first,4200,134,133.0,1.2002590000629425,0.0008411200455462858
first,4200,135,134.0,1.2002629935741425,0.0008360450201070024
first,4200,136,135.0,1.2002629935741425,0.0008272579396846015
first,4200,137,136.0,1.2002600133419037,0.0008189395303204733
first,4200,138,137.0,1.2002650201320648,0.0008115555739711832
first,4200,139,138.0,1.2002629935741425,0.0008066983574199155
first,4200,140,139.0,1.2002619802951813,0.0008031017685694284
first,4200,141,140.0,1.2002640068531036,0.0008270616766398249
first,4200,142,141.0,1.2002610266208649,0.0008067749920668903
first,4200,143,142.0,1.2002539932727814,0.0007923018167102541
first,4200,144,143.0,1.2002560198307037,0.0007893819632087723
first,4200,145,144.0,1.2002560198307037,0.0007785624242193809
first,4200,146,145.0,1.200257033109665,0.0007706626897636458
first,4200,147,146.0,1.2002590000629425,0.0007642532421104883
first,4200,148,147.0,1.2002539932727814,0.0007613769210059142
first,4200,149,148.0,1.200257033109665,0.0007573654767374263
first,4200,150,149.0,1.200257033109665,0.0007568400519693491
first,4200,151,150.0,1.2002579867839813,0.0007476697983120737
first,4200,152,151.0,1.2002550065517426,0.0007454388731481571
first,4200,153,152.0,1.2002619802951813,0.0007376210128967302
first,4200,154,153.0,1.2002600133419037,0.0007325192999925259
first,4200,155,154.0,1.2002579867839813,0.0007272648564404527
first,4200,156,155.0,1.2002600133419037,0.0007246948290846504
first,4200,157,156.0,1.2002590000629425,0.000723337196121469
first,4200,158,157.0,1.2002610266208649,0.0007239538479485328
first,4200,159,158.0,1.2002579867839813,0.0007202734751485415
first,4200,160,159.0,1.2002579867839813,0.0007154303123632046
first,4200,161,160.0,1.2002600133419037,0.0007113559934067194
first,4200,162,161.0,1.2002610266208649,0.0007084254159514435
first,4200,163,162.0,1.2002640068531036,0.0006999357661013911
first,4200,164,163.0,1.2002640068531036,0.0006966757820836871
first,4200,165,164.0,1.2002600133419037,0.0006914097331569603
first,4200,166,165.0,1.2002590000629425,0.0006909683861453406
first,4200,167,166.0,1.2002579867839813,0.0006889086524995226
first,4200,168,167.0,1.200257033109665,0.0006868458338806955
first,4200,169,168.0,1.2002600133419037,0.000681700833418711
first,4200,170,169.0,1.2002610266208649,0.0006745972668384808
first,4200,171,170.0,1.2002619802951813,0.0006796223450957101
first,4200,172,171.0,1.2002610266208649,0.0006715982813309212
first,4200,173,172.0,1.2002600133419037,0.0006709623361805934
first,4200,174,173.0,1.2002579867839813,0.0006661911560988048
first,4200,175,174.0,1.2002560198307037,0.0006590939063680695
first,4200,176,175.0,1.2002590000629425,0.0006525986670845607
first,4200,177,176.0,1.2002610266208649,0.0006407065368444738
first,4200,178,177.0,1.2002590000629425,0.0006367912653853525
first,4200,179,178.0,1.2002600133419037,0.0006331279823564758
first,4200,180,179.0,1.200257033109665,0.0006290194838577615
first,4200,181,180.0,1.2002579867839813,0.0006479146007644131
first,4200,182,181.0,1.2002579867839813,0.0006411440153978756
first,4200,183,182.0,1.2002550065517426,0.0006313904570027311
first,4200,184,183.0,1.2002550065517426,0.0006231932919746476
first,4200,185,184.0,1.2002560198307037,0.000617662620918686
first,4200,186,185.0,1.200257033109665,0.0006145426848820351
first,4200,187,186.0,1.2002550065517426,0.0006122257232486394
first,4200,188,187.0,1.200257033109665,0.0006099724197884497
first,4200,189,188.0,1.2002529799938202,0.0006028727216664372
first,4200,190,189.0,1.2002560198307037,0.0006038590316085257
first,4200,191,190.0,1.2002539932727814,0.0006052147548265109
first,4200,192,191.0,1.2002579867839813,0.0006017383330199066
first,4200,193,192.0,1.2002550065517426,0.0006015635668505433
first,4200,194,193.0,1.200257033109665,0.0006006053644403166
first,4200,195,194.0,1.2002579867839813,0.0005955995795063513
first,4200,196,195.0,1.2002600133419037,0.0005915693805606803
first,4200,197,196.0,1.2002590000629425,0.0005965048476971659
first,4200,198,197.0,1.2002600133419037,0.0005907183687205674
first,4200,199,198.0,1.2002590000629425,0.000596446967727374
first,4200,200,199.0,1.2002590000629425,0.0006061867171957152
first,4200,201,200.0,1.2002610266208649,0.0005927795224333261
first,4200,202,201.0,1.2002590000629425,0.0006202012109304896
first,4200,203,202.0,1.2002600133419037,0.0005829509942972752
first,4200,204,203.0,1.2002590000629425,0.0005810577022904781
first,4200,205,204.0,1.2002590000629425,0.0005774522992313932
first,4200,206,205.0,1.2002600133419037,0.0005744197217955112
first,4200,207,206.0,1.2002579867839813,0.0005737371592752664
first,4200,208,207.0,1.2002579867839813,0.0005673448013932235
first,4200,209,208.0,1.2002579867839813,0.0005646879540827334
first,4200,210,209.0,1.2002579867839813,0.0005616875974760587
first,4200,211,210.0,1.2002610266208649,0.0005577789856412112
first,4200,212,211.0,1.2002560198307037,0.0005552745751716367
first,4200,213,212.0,1.2002560198307037,0.0005513948543538595
first,4200,214,213.0,1.2002539932727814,0.0005486972168446921
first,4200,215,214.0,1.2002550065517426,0.0005485141751128121
first,4200,216,215.0,1.2002579867839813,0.0005440440002546367
first,4200,217,216.0,1.200257033109665,0.000544300640628308
first,4200,218,217.0,1.2002539932727814,0.0005440285753895907
first,4200,219,218.0,1.2002560198307037,0.0005437104314270373
first,4200,220,219.0,1.2002550065517426,0.0005410910934709132
first,4200,221,220.0,1.2002529799938202,0.0005349434767809346
first,4200,222,221.0,1.2002590000629425,0.0005328283115566019
first,4200,223,222.0,1.2002560198307037,0.0005330913177475936
first,4200,224,223.0,1.2002550065517426,0.0005306246614715128
first,4200,225,224.0,1.2002560198307037,0.0005265075936033284
first,4200,226,225.0,1.2002520263195038,0.0005275102098313227
first,4200,227,226.0,1.2002590000629425,0.0005575920754511133
first,4200,228,227.0,1.2002590000629425,0.0005401237830451355
first,4200,229,228.0,1.2002590000629425,0.0005360737031622941
first,4200,230,229.0,1.200257033109665,0.0005353421238486806
first,4200,231,230.0,1.2002600133419037,0.0005293524773639039
first,4200,232,231.0,1.2002600133419037,0.0005246937274095623
first,4200,233,232.0,1.2002590000629425,0.0005180568242067572
first,4200,234,233.0,1.200257033109665,0.000521164126544418
first,4200,235,234.0,1.2002590000629425,0.0005201193490186313
first,4200,236,235.0,1.2002590000629425,0.0005171170826667604
first,4200,237,236.0,1.2002560198307037,0.0005135461529568578
first,4200,238,237.0,1.200257033109665,0.0005091247500529233
first,4200,239,238.0,1.2002590000629425,0.0005135651524731685
first,4200,240,239.0,1.2002550065517426,0.0005123406630276386
first,4200,241,240.0,1.2002560198307037,0.0005098729294593958
first,4200,242,241.0,1.2002579867839813,0.0005062165019260951
first,4200,243,242.0,1.2002590000629425,0.0005038220731926903
first,4200,244,243.0,1.2002560198307037,0.0005017366804062878
first,4200,245,244.0,1.2002520263195038,0.0004997808564862721
first,4200,246,245.0,1.2002550065517426,0.0004986589056674294
first,4200,247,246.0,1.2002579867839813,0.0005001295563719643
first,4200,248,247.0,1.200257033109665,0.0004960318307948695
first,4200,249,248.0,1.2002560198307037,0.0004929537622490579
first,4200,250,249.0,1.2002579867839813,0.0005177839265150057
first,4200,251,250.0,1.200257033109665,0.000489362951601985
first,4200,252,251.0,1.2002579867839813,0.00048783192356855544
first,4200,253,252.0,1.200257033109665,0.00048334490377839324
first,4200,254,253.0,1.2002529799938202,0.0004795093029714305
first,4200,255,254.0,1.2002520263195038,0.0004811718585842686
first,4200,256,255.0,1.2002520263195038,0.0004778875865250952
first,4200,257,256.0,1.2002539932727814,0.00047797220292763364
first,4200,258,257.0,1.2002520263195038,0.000480064793984391
first,4200,259,258.0,1.2002550065517426,0.0004796088545607595
first,4200,260,259.0,1.2002529799938202,0.00047860844188491467
first,4200,261,260.0,1.2002539932727814,0.0004714086535274922
first,4200,262,261.0,1.200257033109665,0.0004706866719076852
first,4200,263,262.0,1.2002590000629425,0.0004695360749108998
first,4200,264,263.0,1.2002590000629425,0.00046909472789928016
first,4200,265,264.0,1.2002539932727814,0.00046770923224336464
first,4200,266,265.0,1.2002560198307037,0.0004630036200799782
first,4200,267,266.0,1.2002539932727814,0.00046339369777825427
first,4200,268,267.0,1.2002529799938202,0.0004619472861473632
first,4200,269,268.0,1.2002529799938202,0.0004592298166688508
first,4200,270,269.0,1.2002560198307037,0.00046263812423012475
first,4200,271,270.0,1.2002560198307037,0.00045857648794045517
first,4200,272,271.0,1.2002539932727814,0.0004620162328457278
first,4200,273,272.0,1.200257033109665,0.0004620675021590714
first,4200,274,273.0,1.2002560198307037,0.00045649324973837655
first,4200,275,274.0,1.2002579867839813,0.00045538427539330276
first,4200,276,275.0,1.2002600133419037,0.0004525576076638293
first,4200,277,276.0,1.2002600133419037,0.00045016043673219404
